cbsa10,FIPS state,placefp14,county,2010 Tract,State Postal Code,cntyname,placefp,placenm,Place Name 2014,2010 CBSA Name,"Total Pop, 2010 census",cbsa10 to tract alloc factor
12060,13,4000,13121,77.04,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4551,0.001
12060,13,4000,13121,77.05,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",3628,0.001
12060,13,4000,13121,77.06,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",7669,0.001
12060,13,4000,13121,78.02,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",5668,0.001
12060,13,4000,13121,78.05,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",1623,0
12060,13,4000,13121,78.06,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",5474,0.001
12060,13,4000,13121,78.07,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",3116,0.001
12060,13,4000,13121,78.08,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4306,0.001
12060,13,4000,13121,79,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4289,0.001
12060,13,4000,13121,80,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4875,0.001
12060,13,4000,13121,81.01,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",977,0
12060,13,4000,13121,81.02,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",5925,0.001
12060,13,4000,13121,82.01,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",6083,0.001
12060,13,4000,13121,82.02,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",1893,0
12060,13,4000,13121,83.01,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",2903,0.001
12060,13,4000,13121,83.02,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",2000,0
12060,13,4000,13121,84,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",3181,0.001
12060,13,4000,13121,85,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",3774,0.001
12060,13,4000,13121,86.01,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4917,0.001
12060,13,4000,13121,86.02,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",1285,0
12060,13,4000,13121,87,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4372,0.001
12060,13,4000,13121,88,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4578,0.001
12060,13,4000,13121,89.02,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",5765,0.001
12060,13,4000,13121,89.03,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",2372,0
12060,13,4000,13121,89.04,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4883,0.001
12060,13,4000,13121,90,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4417,0.001
12060,13,4000,13121,91.01,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",4248,0.001
