,2010_Id2,2010_Married-couple families; Estimate; Median income (dollars),2011_Married-couple families; Estimate; Median income (dollars),2012_Married-couple families; Estimate; Median income (dollars),2013_Married-couple families; Estimate; Median income (dollars),2014_Married-couple families; Estimate; Median income (dollars),2015_Married-couple families; Estimate; Median income (dollars),2016_Married-couple families; Estimate; Median income (dollars)
132,11001008903,49375,50000,69609,75382,78451,(X),78314
133,11001008904,66848,57452,59224,59808,61453,(X),-
134,11001009000,74919,152530,74968,76970,72398,(X),122969
135,11001009102,70862,72065,64091,62656,55921,65982,57230
136,11001009201,54074,57176,65268,67500,173413,174417,175476
137,11001009203,98661,63088,84479,101389,123750,(X),127333
138,11001009204,60521,51902,54700,54425,54056,(X),53797
139,11001009301,142813,143750,138036,145083,122964,116619,126295
140,11001009302,118625,89375,126125,84583,64083,64615,92917
141,11001009400,93182,99861,105721,106875,108576,110179,133000
142,11001009501,52893,55028,55096,55610,53534,(X),53095
143,11001009503,126538,131953,113977,105298,94477,(X),109643
144,11001009504,84083,81250,88636,104044,118897,(X),126250
145,11001009505,96576,133281,96638,98125,92159,(X),102326
146,11001009507,93611,92083,78625,82031,78500,86406,105139
147,11001009508,72361,82396,94250,82708,82361,97813,101167
148,11001009509,102375,105795,90982,85278,85928,(X),106455
149,11001009601,89500,101892,103185,64856,90375,(X),67250
150,11001009602,77820,76193,21250,34079,36731,(X),36792
151,11001009603,65357,78563,54474,61528,64583,81176,64583
152,11001009604,68529,67639,66641,65583,56786,69545,68783
153,11001009700,86250,71927,71875,72500,73304,(X),90833
154,11001009801,93902,69886,70083,46389,45125,(X),-
155,11001009802,46339,63750,24167,85469,80000,(X),72273
156,11001009803,49643,56250,36750,38750,38875,(X),90563
157,11001009804,70893,84022,85658,88289,120357,(X),96375
158,11001009807,69688,63906,63482,62545,67100,(X),84583
159,11001009810,62500,-,-,66364,58462,(X),-
160,11001009811,30966,32742,28523,29397,40326,(X),46154
161,11001009901,106875,93650,118690,109688,107734,(X),170921
162,11001009902,66106,69643,76000,70611,60795,(X),55037
163,11001009903,52188,71118,66250,93456,93750,94444,99375
164,11001009904,93967,39336,33667,34297,98125,(X),117898
165,11001009905,62917,81944,62037,62188,98362,(X),105707
166,11001009906,37375,37273,47813,50096,50577,54750,52434
167,11001009907,78438,92813,82159,84940,97917,(X),85438
168,11001010100,143553,110446,111250,137344,139375,(X),171174
169,11001010200,171591,183365,176607,158068,145000,131250,131875
170,11001010300,92344,63155,96875,58438,93208,(X),95956
171,11001010400,75625,93611,99583,108250,102583,(X),101771
172,11001010500,117262,156250,145278,133864,163453,(X),142619
173,11001010600,79071,139500,165781,165417,164063,(X),173375
174,11001010700,148875,119271,103068,98750,90833,(X),114844
175,11001010800,96154,98958,101538,103182,79643,(X),-
176,11001010900,97841,78472,60234,50536,44423,(X),47250
177,11001011000,125536,108750,112818,113934,116184,(X),156058
178,11001011100,121484,131979,129886,129574,155893,155364,127981
