,NAME,metropolitan statistical area/micropolitan statistical area,Total population,White alone,Highschool,GED,"Some college, fewer than 1 years","Some college, 1 ore more years",associates,college grad,Professional degree,Masters,post grad,Place of work total,Work in state,Work in county,Work Out state,Work out county,Income in the past 12 months below poverty,Under 10k,"10 to 14,999","15 to 19,999",20 to 24,25 to 30,"30 to 34,999",35 to 39,40 to 44,44 to 49,50 to 59,60 to 74,75 to 99,100 to 124,125 to 149,150 to 199,200 +,Median HH income,M HH income white,Median HH income black,Median HH income hispanic
238,"Dixon, IL Micro Area",35027,19940,31940,8138,1264,2246,3744,2243,2707,208,1260,133,15229,15073,9192,156,5881,3555,787,688,746,806,638,919,564,662,605,1239,1711,1817,1074,433,518,310,52379,52653,61250,40625
239,"Dodge City, KS Micro Area",34714,19980,30535,4058,640,1750,2665,1382,2609,186,793,67,16041,15853,14860,188,993,6183,496,734,665,623,868,560,480,643,369,1100,1455,1556,695,476,215,270,50777,51687,21447,44796
240,"Dothan, AL Metro Area",147601,20020,107505,28010,6536,6939,15349,8313,12241,1175,4825,563,60633,57607,43996,3026,13611,27552,5360,4488,4449,3501,3441,3521,3298,2947,2542,4241,5397,5764,3207,1732,1602,1355,40596,46436,24661,34306
241,"Douglas, GA Micro Area",43003,20060,28479,8207,2478,1451,3185,2110,2363,288,970,113,15107,14974,13033,133,1941,9975,2002,1266,949,1316,853,945,1077,670,716,900,1005,1162,506,357,281,316,33965,37395,23251,26505
242,"Dover, DE Metro Area",169509,20100,113925,32201,4823,7063,17005,9411,15582,1263,6956,1097,75847,70911,53552,4936,17359,22074,3614,3014,2964,3029,2855,3421,2916,3144,2412,5634,6672,8699,5239,3042,2389,1527,54976,58299,48490,41556
243,"Dublin, GA Micro Area",57680,20140,35496,14072,2480,1854,4400,2724,2803,581,1808,227,20508,20366,15386,142,4980,14948,3331,2136,1516,1678,1267,1039,1055,942,778,1327,1693,1770,1163,486,434,324,32594,39036,20329,37019
244,"DuBois, PA Micro Area",81343,20180,77458,26236,3923,3024,5020,5577,5464,415,1776,183,33357,32920,24054,437,8866,11306,2563,2320,2371,2151,1975,1842,1640,1902,1583,2911,3822,3259,1798,696,651,333,42257,42138,61122,
245,"Dubuque, IA Metro Area",95906,20220,89788,20011,2518,4010,8024,5825,11949,1004,4603,728,49436,47484,45996,1952,1488,11189,2223,1604,1958,1966,1839,2322,1658,2063,1854,3296,4576,5723,3191,1378,1217,1023,54605,55889,18625,36944
246,"Duluth, MN-WI Metro Area",279748,20260,258294,50806,8399,14575,32573,22905,33589,2666,11176,1695,131435,118862,107683,12573,11179,42309,9158,7119,6894,7005,6102,6367,6033,5624,4858,9931,13089,14692,8969,4408,3690,2585,48905,50193,17474,47266
247,"Dumas, TX Micro Area",22281,20300,17733,2646,723,972,1685,687,1219,53,281,0,10418,10369,9470,49,899,4421,398,202,298,263,484,488,464,467,392,816,741,837,516,191,231,105,49802,51039,49464,45077
248,"Duncan, OK Micro Area",44806,20340,37657,9944,1913,2505,5044,1430,3897,281,937,166,18567,18119,15195,448,2924,6740,1582,1149,1185,1226,984,1181,944,859,754,1493,1742,2055,1268,571,390,485,43781,44048,21776,36696
249,"Dunn, NC Micro Area",124320,20380,84461,19964,4102,5102,14511,7881,10169,564,4112,434,49887,49361,18545,526,30816,22094,3283,2623,2429,2779,2617,2586,2340,2253,1834,3819,4409,5371,2985,1522,1105,717,46353,51068,34185,35349
250,"Durango, CO Micro Area",53182,20420,47106,6377,842,2358,6621,2871,10148,1175,3865,903,27240,25647,25212,1593,435,5432,1156,878,851,983,1000,934,1097,1041,766,1986,2705,2984,1857,1217,1213,845,60278,61385,28922,52960
251,"Durant, OK Micro Area",44003,20460,32642,8239,1450,1852,5089,1590,3911,303,1802,222,18105,15307,13798,2798,1509,7816,1559,1365,1357,1215,1048,982,1005,957,761,1189,1456,1835,906,395,327,275,38847,39412,30167,30169
252,"Durham-Chapel Hill, NC Metro Area",534154,20500,332434,56793,11319,17409,45199,23181,81451,13485,45400,18342,255652,252332,157332,3320,95000,86820,16144,10197,11284,11151,10489,10765,8993,10135,9794,16339,19838,23759,15674,10686,11266,13647,53295,61722,37414,38214
253,"Dyersburg, TN Micro Area",38054,20540,31222,7690,2555,1603,2846,1855,2943,329,1417,213,15819,14766,12359,1053,2407,6646,1268,1075,1026,932,1076,963,707,641,803,909,1863,1741,828,377,406,316,42468,44143,35927,47611
254,"Eagle Pass, TX Micro Area",56548,20580,52650,5116,2007,1562,4407,2271,2451,233,701,24,19856,19617,16228,239,3389,14872,2093,1371,1481,1389,615,1272,861,666,570,1262,1084,1487,826,485,371,197,33747,33580,,32749
255,"Easton, MD Micro Area",37799,20660,31083,6929,932,2167,3522,1822,5136,814,2855,754,17330,16382,12349,948,4033,4202,979,656,767,1012,788,838,558,895,511,1210,1732,1878,1327,1051,755,1274,58228,65670,31063,36165
256,"East Stroudsburg, PA Metro Area",167881,20700,131113,36207,5127,6770,17411,9645,16766,1141,7221,858,74546,57704,45596,16842,12108,20702,3124,2435,2894,2644,2888,2841,2851,2504,2521,5275,6427,8055,5359,3012,2773,1694,57365,57031,59221,56912
257,"Eau Claire, WI Metro Area",164490,20740,154068,29853,4042,7155,15987,14038,18471,1435,6855,1275,83951,82606,61362,1345,21244,20943,3510,4538,3740,3727,3484,3585,3406,3077,2897,5823,7497,8460,5117,2380,1993,1532,50611,50986,16176,22332
258,"Edwards, CO Micro Area",52576,20780,46556,5859,595,924,4986,2955,12589,1045,3050,209,31127,31017,26063,110,4954,4780,527,396,289,648,369,722,938,1068,628,1670,2059,2290,1823,1235,1475,1703,72214,74237,53015,52067
259,"Effingham, IL Micro Area",34332,20820,33570,7425,1007,1878,2893,3061,3408,250,1076,105,17076,16890,14631,186,2259,3557,724,623,738,841,718,760,659,676,628,1113,1788,1666,991,505,470,430,52224,52243,,48125
260,"El Campo, TX Micro Area",41264,20900,34195,8112,864,1669,4110,1911,2547,124,1030,59,18342,18218,13510,124,4708,7178,1064,1310,1108,907,859,515,944,641,652,1360,1498,1473,1155,517,465,273,45176,48528,26340,38786
261,"El Centro, CA Metro Area",178206,20940,126305,19896,3544,5656,19920,7036,10599,696,3686,121,57321,55975,52807,1346,3168,40114,4636,4568,2935,3220,2730,2621,2062,2173,1740,2903,4100,5037,3238,2072,1465,952,41079,42589,57321,37110
262,"El Dorado, AR Micro Area",40633,20980,26276,9045,1382,1821,4047,1929,3481,238,993,133,16212,15665,14719,547,946,8172,1715,1428,1198,1216,841,1105,939,672,732,1457,1366,1887,881,475,247,377,38678,48060,26845,30792
263,"Elizabeth City, NC Micro Area",63677,21020,41699,10581,2472,3125,7795,4322,5494,354,2033,439,26618,21335,14618,5283,6717,10685,2044,1461,1727,1236,1350,1339,917,1207,1592,1828,2416,2979,1675,809,681,482,46386,53820,30146,33566
264,"Elizabethtown-Fort Knox, KY Metro Area",150776,21060,125723,27403,6781,8230,15039,9236,11309,1052,7120,460,67040,65183,46363,1857,18820,22156,4095,2961,3147,2998,3350,3327,2891,2950,2734,4933,6219,7276,4206,2436,1745,1010,49458,49255,52460,53276
265,"Elk City, OK Micro Area",23300,21120,19397,5221,948,793,2169,897,1764,152,569,195,9478,9097,8164,381,933,2777,446,388,458,535,645,386,353,341,342,263,797,946,786,283,170,396,48601,48711,31108,74067
266,"Elkhart-Goshen, IN Metro Area",200685,21140,173030,38411,8254,8590,16204,7826,15620,1018,5828,492,89407,87701,77037,1706,10664,31601,4391,3801,3881,3980,4279,4256,4086,4059,3998,6816,8363,8881,4316,2225,1740,1367,47913,49448,22094,40256
267,"Elkins, WV Micro Area",29365,21180,28456,8081,1724,926,1796,1142,2245,197,1426,228,11671,11559,9984,112,1575,4610,1162,863,893,817,868,654,576,674,628,1067,980,1025,647,220,326,163,39457,39283,,9500
268,"Elko, NV Micro Area",53231,21220,47044,7633,1407,2608,7138,3027,4121,300,1589,93,26540,26079,21943,461,4136,5736,692,568,707,744,587,633,706,769,800,1455,2141,3052,2275,1377,1085,872,71462,73157,,50938
269,"Ellensburg, WA Micro Area",42204,21260,37658,5367,1160,2029,4033,1758,5695,258,1969,503,19307,19018,16358,289,2660,8804,1987,1092,885,1175,858,790,749,748,658,1323,2045,1953,1218,672,560,240,46458,47942,43314,40500
270,"Elmira, NY Metro Area",88267,21300,78077,17895,3737,4001,7100,7491,7745,784,5185,526,37609,36208,28857,1401,7351,13044,2776,2131,2126,2187,1808,1905,1650,1471,1427,3183,3716,4095,2833,1504,1383,972,50320,51240,23077,25938
271,"El Paso, TX Metro Area",834425,21340,691355,92621,29134,26692,86418,35582,73110,4968,24727,3006,340040,324826,320387,15214,4439,186920,24943,18084,18591,16649,15742,16698,14933,13350,13310,21507,24425,25679,15265,8309,7636,5459,41578,42238,51804,37301
272,"Emporia, KS Micro Area",33462,21380,29509,5383,1237,1337,3117,1277,3298,242,1248,289,16304,16236,14321,68,1915,6919,1447,732,946,815,867,811,1015,817,659,1056,1393,1195,698,329,284,208,40021,41085,,38903
273,"Enid, OK Micro Area",62192,21420,51064,12433,2077,2943,6151,2806,5899,535,2208,192,28478,28253,26216,225,2037,7852,1237,1335,1379,1546,1218,1605,1340,1489,1186,2219,2869,3016,1627,632,633,606,48238,49506,37755,40806
274,"Enterprise, AL Micro Area",50884,21460,39067,8049,2102,2419,5123,3257,5250,467,2279,227,21652,21322,13319,330,8003,8581,1479,1404,1101,1270,1243,1019,872,833,868,1302,1685,2342,1532,955,869,386,46729,51998,26605,32372
275,"Erie, PA Metro Area",279858,21500,244945,66376,8555,10771,19591,15839,31707,2627,12584,1867,126418,123960,121059,2458,2901,44595,9227,6905,6650,6561,6721,5979,5948,5980,4816,9336,11338,13039,7680,3933,3097,2724,45971,48290,24473,19381
276,"Escanaba, MI Micro Area",36712,21540,34569,8351,1021,2098,4771,3198,3618,287,985,118,15235,14768,13217,467,1551,6227,1299,1150,1290,970,1052,1009,806,706,751,1526,1532,2019,749,417,265,144,42031,42837,,19375
277,"Española, NM Micro Area",39949,21580,24974,7218,1313,1483,5245,2117,2830,251,1201,178,15075,15014,8850,61,6164,9413,2057,1203,875,851,811,931,660,835,564,992,1094,1013,651,460,542,191,36098,35374,38750,37923
278,21640,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
279,"Eugene, OR Metro Area",357060,21660,315529,49042,11164,20788,49512,20705,41452,4327,18240,4462,154832,153873,148796,959,5077,70308,14277,8998,9903,8664,8068,8790,7987,7655,6025,12241,15153,16326,9407,4956,4413,3372,44103,45046,28998,37962
280,"Eureka-Arcata-Fortuna, CA Micro Area",135034,21700,109821,19602,3196,6777,18377,8006,16774,1664,5384,1533,56522,56252,55376,270,876,28158,4244,4368,3612,3651,3317,3171,2873,2690,2846,4531,4826,5717,3135,1527,1333,1195,42197,44095,28504,35800
281,"Evanston, WY Micro Area",20930,21740,19723,4046,667,1170,2211,1075,1815,138,530,32,9851,9430,8200,421,1230,2845,478,429,326,488,219,301,388,329,416,585,873,1013,612,573,252,220,56569,56532,,40194
282,"Evansville, IN-KY Metro Area",314263,21780,279813,63056,11620,15826,33201,18808,31897,2772,13382,1587,146511,138162,102350,8349,35812,46199,9561,7253,7271,7405,7600,7943,6777,6231,5766,10330,12988,15593,9134,4810,3906,3372,47583,50027,23188,40625
283,"Fairbanks, AK Metro Area",99705,21820,76423,11279,2961,4621,13696,5512,11957,1008,5080,1235,50896,50675,49307,221,1368,7752,1177,1228,1167,1460,1068,1358,1467,1890,1165,2788,4287,5461,3462,2699,3190,1715,71068,74242,56353,55284
284,"Fairfield, IA Micro Area",17318,21840,14744,3040,663,920,1697,1275,2155,132,1390,201,7541,7498,6288,43,1210,2311,724,494,383,511,441,289,406,364,236,590,643,831,452,264,139,146,42899,43615,,
285,21860,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
286,"Fairmont, WV Micro Area",56790,21900,53357,13760,2193,2031,5152,2959,5637,338,2121,261,25025,24537,15428,488,9109,8980,1815,1422,1664,1621,1371,1276,1268,1103,993,1638,2144,2788,1461,827,745,345,43165,44479,23850,76250
287,"Fallon, NV Micro Area",24252,21980,19848,4565,1129,1751,2979,1561,1764,160,640,13,9921,9897,8563,24,1334,3802,782,437,551,398,604,687,560,450,646,775,757,1022,810,563,347,86,47415,48172,50057,35568
288,"Fargo, ND-MN Metro Area",223379,22020,202831,26698,4025,8507,22448,19513,34231,2316,9395,2604,125562,101024,97181,24538,3843,26284,5734,4519,4087,4748,5150,5326,4245,4725,3968,6611,10614,12182,7010,4604,4053,3874,54590,56657,25929,34680
289,"Faribault-Northfield, MN Micro Area",64886,22060,58393,11103,1867,2717,5770,4135,7163,690,2643,761,32887,32590,22012,297,10578,6469,1257,800,1042,1143,1273,908,1075,1139,823,1887,2699,3325,2237,1025,1104,795,59598,61199,23599,34931
290,"Farmington, MO Micro Area",66010,22100,61477,12121,3581,4468,6784,3807,3839,405,1972,273,25163,24675,18799,488,5876,11138,2178,2045,1794,1613,1807,1507,1585,1519,1301,1973,2506,2510,1405,485,490,218,39741,39960,20662,16335
291,"Farmington, NM Metro Area",125133,22140,66443,20922,4375,5173,14353,8001,7150,727,3638,461,51023,48896,48217,2127,679,24755,4037,2430,1936,2390,1933,2285,2043,1879,1891,2797,3970,5466,3071,1809,1717,989,48671,55802,,48734
292,"Fayetteville, NC Metro Area",375678,22180,192242,51050,9531,17704,49987,25375,35109,2191,13579,1715,161720,159649,134394,2071,25255,65996,12285,7843,8077,9244,8585,9412,8199,7691,6818,11773,14150,16008,9251,4086,3837,2374,43861,50693,36544,37842
293,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",493095,22220,415001,77554,16095,18228,45065,16120,55775,5784,23298,4173,226859,219229,182495,7630,36734,78709,12909,10002,9600,10519,10757,10070,10161,9465,8887,15517,18425,19201,13996,7458,7500,7581,49147,50225,37583,39807
294,"Fergus Falls, MN Micro Area",57511,22260,55151,11158,1388,3230,6408,5314,7098,601,2092,290,26995,25589,21171,1406,4418,5635,1634,1361,1232,1281,1177,1206,1269,1143,1191,2139,2961,3236,1815,955,761,681,52365,53219,15750,52841
295,"Fernley, NV Micro Area",51657,22280,44289,8807,2078,3546,6789,3442,3996,152,1726,121,19624,19199,9109,425,10090,8482,1058,1076,1076,1140,1070,1096,1075,1444,1305,1841,2128,2342,1601,537,446,289,47255,47817,66607,40012
296,"Findlay, OH Micro Area",75428,22300,70426,16801,1602,3016,7443,4613,8231,589,3866,454,36724,36473,30030,251,6443,10221,1826,1549,1894,1673,1910,1943,1447,1470,1495,3007,3147,3853,2369,1343,1134,1023,50895,51183,,41724
297,"Fitzgerald, GA Micro Area",17477,22340,10669,4163,581,713,1407,959,811,75,332,21,6011,5991,4706,20,1285,6024,1317,517,516,256,601,345,404,380,307,373,616,405,190,100,67,19,29994,38830,18397,26005
298,"Flagstaff, AZ Metro Area",136701,22380,85870,14489,2465,4911,14111,7635,15518,1643,7682,1895,63972,62279,58867,1693,3412,28824,4658,2472,2656,2108,2463,2461,2170,2049,2179,3847,3970,6059,3575,2173,1980,1799,50234,55850,29613,46345
299,"Flint, MI Metro Area",415874,22420,310956,79883,11594,23621,52027,27977,33856,2897,15505,1642,158275,157165,117459,1110,39706,85696,16549,10409,11065,10058,10320,10311,9061,8799,7837,13621,16209,17877,9875,5455,4742,3080,42327,47601,25521,42454
300,"Florence, SC Metro Area",206252,22500,114403,42075,5499,6545,20588,11771,18047,1313,6990,1208,83014,82033,63047,981,18986,42680,8270,6441,5333,5270,4975,4652,3867,4172,3312,6509,6985,7994,4138,2852,1835,1659,40345,49914,29068,37413
301,"Florence-Muscle Shoals, AL Metro Area",147181,22520,123924,27878,6669,6932,16082,6537,12348,1214,6130,1081,60098,58051,40745,2047,17306,25638,6054,4296,3964,4050,3771,3566,3122,3261,2720,5342,6090,6655,3398,1888,1626,1013,42381,44933,27172,32162
302,"Fond du Lac, WI Metro Area",101920,22540,95382,24141,2939,5031,9177,7823,10393,618,3676,453,51900,51628,36654,272,14974,9071,1997,1894,2014,2144,2192,1772,2269,2010,1894,3969,5184,6254,3610,1727,1265,874,55473,56085,,45074
303,"Forest City, NC Micro Area",66865,22580,57070,12344,2701,3629,6870,5186,4936,543,1879,291,24492,22289,16955,2203,5334,13077,2246,2733,2240,2025,1675,2086,1524,1546,1530,1960,2535,2038,1114,591,282,301,35630,37061,25833,38320
304,"Forrest City, AR Micro Area",27345,22620,11879,5678,1747,1080,2996,1044,1332,39,672,79,8993,8454,6497,539,1957,5857,1265,1083,751,795,560,672,726,433,367,686,861,654,260,141,88,88,32105,36982,25924,20333
305,"Fort Collins, CO Metro Area",318227,22660,289829,32556,6362,12791,34686,18339,56583,4411,23790,6098,160572,156671,131908,3901,24763,42338,7247,5124,5798,6903,5879,5853,6068,5312,5110,9471,13308,17665,11347,6710,7256,6087,59805,60557,42036,46256
306,"Fort Dodge, IA Micro Area",37295,22700,34283,6762,1399,2140,4020,3641,3384,255,1010,73,16323,16280,14258,43,2022,5210,1093,1194,1057,1151,962,794,761,922,652,1232,1588,1701,826,533,361,328,42408,42477,,
307,"Fort Leonard Wood, MO Micro Area",53443,22780,39986,7480,1457,2377,4268,3186,4499,177,2042,166,28111,27934,26306,177,1628,5781,1134,811,639,953,833,935,835,1146,837,1370,2014,1967,1086,488,310,77,47931,48184,48920,45300
308,"Fort Madison-Keokuk, IA-IL-MO Micro Area",61026,22800,58105,15045,2442,3666,6073,4873,5210,418,1384,185,27834,23376,18416,4458,4960,8878,1915,1352,1427,1475,1833,1697,1443,1473,1034,2546,2625,3390,1533,580,456,328,44745,45272,30859,35023
309,"Fort Morgan, CO Micro Area",28359,22820,25520,4755,1095,1507,3097,1442,1616,183,839,76,13088,12955,11731,133,1224,3218,646,468,401,894,572,777,470,603,594,870,1034,1692,637,312,251,200,48450,48826,41228,46194
310,22840,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
311,"Fort Polk South, LA Micro Area",52476,22860,40395,9192,1957,2351,5677,2090,4247,254,1364,121,22617,21863,19412,754,2451,7403,1215,1008,954,1223,1007,1273,953,947,1175,1530,1990,2068,1233,604,382,280,46312,47358,39437,44740
312,"Fort Smith, AR-OK Metro Area",280384,22900,224655,54567,12458,14142,28022,14532,20607,1846,6818,1147,112565,99807,78295,12758,21512,61575,10099,9031,8906,7311,7064,6689,6112,5055,5146,8560,10636,10198,5160,2956,1712,2309,38589,39779,21670,29063
313,"Fort Wayne, IN Metro Area",424579,23060,348035,74880,11221,19628,42966,26819,45714,4404,18412,1963,197086,194521,166270,2565,28251,62481,11079,7975,8487,9009,9839,9994,9090,8818,8118,15435,18306,21120,12179,6055,4469,4546,49901,52996,27053,36779
314,"Frankfort, IN Micro Area",32835,23140,30470,8565,1232,1502,2467,1525,2233,111,887,22,14614,14534,8451,80,6083,4504,640,540,772,740,655,654,641,727,651,857,1435,1493,923,438,288,189,48478,48946,42692,35441
315,"Frankfort, KY Micro Area",71539,23180,62039,12415,4278,3648,7746,2751,7368,718,3657,356,32822,32705,21732,117,10973,9213,1981,1332,1612,1242,1622,2005,1817,1921,1199,2439,3371,4033,2231,1247,910,517,50025,51675,38489,33824
316,"Fredericksburg, TX Micro Area",25398,23240,24070,4404,575,1267,2820,928,4249,558,1304,137,10994,10916,9135,78,1781,2791,553,448,614,868,645,513,471,453,286,809,1236,1250,943,384,584,520,54859,54232,,37083
317,"Freeport, IL Micro Area",46625,23300,40223,9945,1639,3689,5231,3231,3777,324,1752,71,21489,19725,16074,1764,3651,6849,1437,1236,1111,1629,987,1234,921,1017,1168,1778,1801,2201,1443,623,453,260,45331,47191,24795,41667
318,"Fremont, NE Micro Area",36725,23340,35192,7877,1307,2132,3798,2053,3350,240,1023,96,18039,17931,13007,108,4924,4061,800,1006,688,910,732,1127,836,742,878,1725,1782,1810,845,564,343,322,49068,49435,,32939
319,"Fremont, OH Micro Area",60187,23380,54463,16446,1278,3522,5832,4001,4000,269,1562,158,27628,27350,18717,278,8633,8458,1652,1354,1522,1439,1189,1471,1275,1402,1183,2238,2494,3046,1692,829,481,359,47209,48595,19911,38750
320,"Fresno, CA Metro Area",956749,23420,570451,113448,16939,37506,96089,45545,74082,8874,23344,4546,360312,359276,328904,1036,30372,252187,23689,21084,20119,18795,18692,17035,13726,14415,12134,22636,28709,31240,20431,12144,11955,9501,45233,50386,26110,36022
321,"Gadsden, AL Metro Area",103766,23460,84312,18462,4407,4867,13703,6113,7210,845,3026,404,40177,39712,29411,465,10301,20078,3515,3212,3458,3467,2461,2074,2021,1751,1476,3551,4149,4274,2237,1056,671,526,39220,41841,24950,35795
322,"Gaffney, SC Micro Area",55863,23500,42258,10932,2669,1991,4685,2721,3810,383,1302,151,20578,18583,13559,1995,5024,13093,2567,1751,1726,1505,1249,1386,1033,975,995,1496,1846,2062,760,474,459,239,35389,40232,23805,34590
323,"Gainesville, FL Metro Area",271210,23540,193175,30642,6306,8870,22337,17016,33419,6435,16639,7641,120845,119910,109377,935,10533,61801,13707,6184,6210,6299,6002,5643,4658,4190,3946,7738,8771,10878,6400,3937,4074,4253,42710,49163,26552,32096
324,"Gainesville, GA Metro Area",187916,23580,155460,27193,6518,7561,17151,7943,17030,2399,6733,1050,82759,81977,55865,782,26112,34120,3730,3189,3125,3496,3322,3506,3544,3025,3110,5495,6500,7663,4386,2611,2856,2434,51202,53476,33260,39501
325,"Gainesville, TX Micro Area",38761,23620,35756,6457,1849,2136,4588,2073,3811,291,1254,72,17349,16038,11314,1311,4724,5292,753,868,869,880,698,959,666,672,602,1250,1359,1897,1253,721,698,453,52406,53402,29886,39560
326,"Galesburg, IL Micro Area",52112,23660,45351,10987,2330,2749,5307,3890,4150,291,1743,255,21243,20836,17001,407,3835,9013,1957,1403,1704,1606,1435,1319,1231,1065,1035,1637,2072,2201,1423,500,425,288,39976,41632,18852,31809
327,"Gallup, NM Micro Area",73998,23700,12530,12939,1286,1597,8251,2785,2897,287,1424,175,22450,21490,20212,960,1278,27493,4142,1556,1353,1261,1214,940,698,578,761,1153,1751,1322,813,455,254,198,28772,50612,,39288
328,"Garden City, KS Micro Area",41085,23780,31418,4396,1159,1834,3687,1922,2942,261,1105,122,20120,19980,18105,140,1875,6634,724,455,657,848,1082,831,845,722,945,1168,1552,1784,881,682,397,406,49388,52620,29816,44574
329,"Gardnerville Ranchos, NV Micro Area",47259,23820,42132,7696,1059,3164,8422,3621,5803,589,2223,304,20080,17993,12011,2087,5982,4984,970,876,640,1030,1142,791,891,1002,917,1872,2414,2589,1687,974,1076,908,58535,59891,61083,40714
330,"Georgetown, SC Micro Area",60572,23860,38776,12070,1686,2273,6732,3782,6767,1081,3068,433,22466,21936,15910,530,6026,12557,2379,1697,1470,1945,972,1356,1242,1065,789,1944,2402,2419,1390,986,630,880,42835,55095,23386,24022
331,"Gettysburg, PA Metro Area",101767,23900,93927,25950,3572,4179,7071,5450,8832,781,4859,766,49532,41543,25313,7989,16230,8715,1232,1382,1957,1927,1918,1963,1841,1741,1564,3435,5008,5738,3512,2119,1704,1152,60356,61388,32255,33977
332,"Gillette, WY Micro Area",48013,23940,44927,8377,2008,2084,5897,3364,4438,207,1070,119,26000,25716,25278,284,438,3412,484,479,280,721,624,701,421,643,712,1203,1954,2867,2633,1705,1339,744,80060,81018,,60970
333,"Glasgow, KY Micro Area",52910,23980,49475,11786,3202,2084,4261,2340,3071,404,1749,139,22272,21884,15751,388,6133,10756,2283,1854,1677,1647,1164,1227,1289,1176,1117,1531,1784,2080,1156,412,294,224,37369,37787,22500,29944
334,"Glens Falls, NY Metro Area",127880,24020,121635,28227,6105,6035,10159,9974,12355,1177,7800,692,59140,56499,35427,2641,21072,15689,2867,3007,2455,2951,2653,2521,2266,2791,2158,4599,6454,6744,4089,2068,2004,1398,53946,54188,25850,37237
335,"Glenwood Springs, CO Micro Area",74496,24060,66732,9469,1822,3544,7251,3754,12933,1285,4299,445,38644,38053,30695,591,7358,8495,1295,951,1121,1516,1031,1466,1295,1504,1202,2742,2411,4098,2750,1585,1688,1537,59875,61599,33918,43288
336,"Gloversville, NY Micro Area",54606,24100,51984,12297,2640,2764,4523,4845,3388,319,2463,128,23546,23368,14241,178,9127,9100,1662,1446,1244,1504,1226,1290,1226,1218,983,2190,2402,2368,1747,919,452,404,46969,47583,,
337,"Goldsboro, NC Metro Area",124355,24140,71217,20527,3595,5901,14174,8094,10556,598,3271,534,52485,52108,40677,377,11431,27037,4508,3525,3168,3231,3545,2984,2581,2306,1828,4324,5066,4956,2536,1243,1032,697,40390,49244,31059,26594
338,"Grand Forks, ND-MN Metro Area",100526,24220,90681,14144,2186,4086,10369,7186,11906,970,4201,874,53916,46724,44082,7192,2642,15210,3667,2719,2026,2241,1953,1921,1865,2078,1987,3408,4107,5113,3535,1751,1378,1495,50366,51605,25833,45903
339,"Grand Island, NE Metro Area",84015,24260,78894,16714,1646,4892,8385,5092,7296,601,2293,291,42612,42349,34646,263,7703,11197,1877,1482,1757,1958,1788,1943,1612,1632,1675,3480,3640,4057,2477,914,921,754,50633,50915,30564,36400
340,"Grand Junction, CO Metro Area",147834,24300,137187,23635,5279,7219,18255,8773,17560,1148,6152,1204,66836,65724,62207,1112,3517,22545,4720,3439,2927,3135,3185,3483,3342,3200,2508,5026,6374,6890,4499,2316,2496,1675,49322,49658,39271,39535
341,24330,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
342,"Grand Rapids-Wyoming, MI Metro Area",1017877,24340,868214,158574,23939,48283,98794,58944,131263,10219,51242,6501,481682,478178,371950,3504,106228,138151,21578,16777,20016,19211,19744,20885,19867,18904,17090,32785,43742,49806,31504,16052,14647,12756,53780,56469,26742,37686
343,"Grants, NM Micro Area",27382,24380,11878,5582,1040,1044,3287,1652,1528,78,508,63,9339,9290,7901,49,1389,7489,878,798,816,775,552,490,488,380,480,693,656,770,401,196,90,70,34565,42707,45893,35616
344,"Grants Pass, OR Metro Area",83409,24420,77536,16034,3599,7050,11749,5763,6300,583,3058,284,27714,27337,23286,377,4051,16627,3026,2846,2701,2640,2549,2614,1715,2024,1419,2643,3391,3506,1408,762,503,780,37665,37988,43750,34104
345,"Great Bend, KS Micro Area",27399,24460,25177,5026,1146,1850,2515,2063,2263,134,571,113,13113,13087,11569,26,1518,4261,896,699,719,701,697,592,768,705,407,882,1427,1275,839,349,198,152,44013,45325,22326,22247
346,"Great Falls, MT Metro Area",82090,24500,72774,14711,2895,4443,9426,4970,9601,849,3381,256,39149,38646,37806,503,840,12212,2424,2373,1847,2446,2172,1758,1934,1866,1520,2996,3768,3427,2436,1178,767,872,45205,46409,53194,37448
