,NAME,metropolitan statistical area/micropolitan statistical area,Total population,White alone,Highschool,GED,"Some college, fewer than 1 years","Some college, 1 ore more years",associates,college grad,Professional degree,Masters,post grad,Place of work total,Work in state,Work in county,Work Out state,Work out county,Income in the past 12 months below poverty,Under 10k,"10 to 14,999","15 to 19,999",20 to 24,25 to 30,"30 to 34,999",35 to 39,40 to 44,44 to 49,50 to 59,60 to 74,75 to 99,100 to 124,125 to 149,150 to 199,200 +,Median HH income,M HH income white,Median HH income black,Median HH income hispanic
459,"Kokomo, IN Metro Area",82765,29020,73040,16926,3809,4595,9178,4949,6923,617,3064,172,35075,34915,27973,160,6942,14445,3577,1692,2295,1900,2372,2125,1658,1767,1497,2576,3515,4269,2481,1130,944,615,44226,46114,21813,41332
460,"Laconia, NH Micro Area",60399,29060,58218,12196,1655,3113,5735,4646,8412,858,3364,384,30038,29425,18326,613,11099,6214,1085,1016,1502,1174,871,1390,729,1172,941,1979,2911,3673,2537,1245,1459,913,62159,62336,100972,65132
461,"La Crosse-Onalaska, WI-MN Metro Area",135860,29100,125375,22569,2499,5724,13009,12652,16407,1669,6135,1463,71134,64813,59655,6321,5158,18647,2983,2995,2826,2669,3527,2737,2927,3315,2577,4511,5616,7720,3916,2537,1771,1604,51001,51467,29836,31944
462,"Lafayette, LA Metro Area",480148,29180,339994,92933,16385,16643,44887,16996,45546,3476,13505,2260,217185,212803,153393,4382,59410,82929,15984,12129,11332,11293,9312,9300,8131,8105,7234,12807,15816,20400,13739,7675,7988,7545,47449,55119,27687,44158
463,"Lafayette-West Lafayette, IN Metro Area",209718,29200,181967,30071,4696,6949,17429,9601,21920,1743,10526,4075,97768,96875,82422,893,14453,40232,7961,4494,4838,4123,4534,4330,3819,4121,3547,7370,8026,8844,5407,3365,2165,2034,46582,49549,19219,40123
464,"La Grande, OR Micro Area",25745,29260,23837,4795,909,1570,3254,1285,2600,255,915,189,10856,10628,10137,228,491,4641,1004,679,737,651,551,549,447,554,545,848,965,1346,485,261,226,282,43822,44375,,33466
465,"LaGrange, GA Micro Area",68867,29300,41541,12349,3409,3015,7163,2818,4870,724,2256,371,27766,26422,22499,1344,3923,14388,2910,1751,1740,1448,1363,1502,1172,1239,1097,2273,2400,2388,1244,869,513,736,41489,49748,27204,51004
466,"Lake Charles, LA Metro Area",202593,29340,145032,40373,7078,7607,21453,9606,18915,1592,5980,698,87797,84432,79661,3365,4771,33514,6794,4799,5012,5237,4904,3698,3912,4000,2914,6178,7342,8358,5748,3465,3022,2550,45878,52919,28801,44246
467,"Lake City, FL Micro Area",67806,29380,52347,13007,3833,3784,7806,4448,4179,567,2052,236,24760,24475,18465,285,6010,12498,1958,1678,1586,1910,1408,1488,1252,1305,1147,2140,2571,2294,1472,551,542,406,41926,44156,29569,40239
468,"Lake Havasu City-Kingman, AZ Metro Area",203362,29420,181085,44064,9703,14717,28494,11705,11469,1189,4336,794,65333,53487,52567,11846,920,38874,6698,5497,6183,6627,5938,5987,4886,4876,3781,7373,7677,7222,3831,1755,1389,1112,38488,38500,30859,32186
469,"Lakeland-Winter Haven, FL Metro Area",626676,29460,493630,129957,24726,27773,58989,35001,54930,3413,19276,3105,241162,239049,191505,2113,47544,111877,16388,12960,14741,15109,14846,13989,13154,13394,9872,21661,21636,24567,13168,6475,5420,4001,43162,45438,31997,38347
470,"Lamesa, TX Micro Area",13542,29500,10498,2534,775,814,1008,315,723,13,222,12,4752,4725,3893,27,832,1924,393,324,351,172,284,268,239,280,160,247,347,515,252,146,106,148,41095,43706,20511,32052
471,"Lancaster, PA Metro Area",530216,29540,469520,116404,17565,18192,32840,23147,57531,4963,22844,3217,254905,250866,212062,4039,38804,55372,9028,8188,8802,9595,9750,10460,9051,10252,8896,17166,23342,29055,16614,9830,8821,6480,57721,59790,33793,32206
472,"Lansing-East Lansing, MI Metro Area",468737,29620,380432,63457,9692,24592,49869,28830,56443,7032,25986,7355,215905,214643,136386,1262,78257,79925,15260,9696,9779,10030,9251,10241,9237,9237,7984,15310,19507,22003,14539,8111,6881,5841,50421,53421,32726,40015
473,"Laramie, WY Micro Area",37565,29660,33616,2873,565,1231,3171,1718,5605,543,2637,1196,20217,19702,18925,515,777,9510,1693,1486,1019,968,1001,788,438,704,780,1414,1246,1676,931,481,629,408,42834,43768,,37286
